dataset,comparison,model_a,model_b,metric,model_a_score,model_b_score,difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_approx,n_bootstrap,interpretation
LC25000,EfficientNet-B0 vs SimpleCNN,TransferCNN_EfficientNetB0_LeakageSafe,SimpleCNN_LeakageSafe,accuracy,1.0,0.990078,0.009922,0.006972,0.013408,0.0,2000,A higher; CI excludes zero
LC25000,EfficientNet-B0 vs SimpleCNN,TransferCNN_EfficientNetB0_LeakageSafe,SimpleCNN_LeakageSafe,weighted_f1,1.0,0.990066,0.009934,0.00698,0.013428,0.0,2000,A higher; CI excludes zero
LC25000,EfficientNet-B0 vs SimpleCNN,TransferCNN_EfficientNetB0_LeakageSafe,SimpleCNN_LeakageSafe,macro_f1,1.0,0.99007,0.00993,0.00704,0.013356,0.0,2000,A higher; CI excludes zero
LC25000,EfficientNet-B0 vs SimpleCNN,TransferCNN_EfficientNetB0_LeakageSafe,SimpleCNN_LeakageSafe,balanced_accuracy,1.0,0.990107,0.009893,0.007084,0.013298,0.0,2000,A higher; CI excludes zero
LC25000,DenseNet121 vs ResNet18,TransferCNN_DenseNet121_LeakageSafe,TransferCNN_ResNet18_LeakageSafe,accuracy,1.0,0.999195,0.000805,0.0,0.001877,0.104,2000,Difference uncertain; CI includes zero
LC25000,DenseNet121 vs ResNet18,TransferCNN_DenseNet121_LeakageSafe,TransferCNN_ResNet18_LeakageSafe,weighted_f1,1.0,0.999195,0.000805,0.0,0.001877,0.104,2000,Difference uncertain; CI includes zero
LC25000,DenseNet121 vs ResNet18,TransferCNN_DenseNet121_LeakageSafe,TransferCNN_ResNet18_LeakageSafe,macro_f1,1.0,0.999196,0.000804,0.0,0.00183,0.104,2000,Difference uncertain; CI includes zero
LC25000,DenseNet121 vs ResNet18,TransferCNN_DenseNet121_LeakageSafe,TransferCNN_ResNet18_LeakageSafe,balanced_accuracy,1.0,0.999189,0.000811,0.0,0.001816,0.104,2000,Difference uncertain; CI includes zero
LC25000,EfficientNet-B0 vs ResNet18,TransferCNN_EfficientNetB0_LeakageSafe,TransferCNN_ResNet18_LeakageSafe,accuracy,1.0,0.999195,0.000805,0.0,0.001877,0.104,2000,Difference uncertain; CI includes zero
LC25000,EfficientNet-B0 vs ResNet18,TransferCNN_EfficientNetB0_LeakageSafe,TransferCNN_ResNet18_LeakageSafe,weighted_f1,1.0,0.999195,0.000805,0.0,0.001877,0.104,2000,Difference uncertain; CI includes zero
