Unnamed: 0,precision,recall,f1-score,support
colon adenocarcinoma,1.0,1.0,1.0,745.0
colon benign tissue,1.0,1.0,1.0,757.0
lung adenocarcinoma,0.9986595174262736,0.997322623828648,0.9979906229068988,747.0
lung benign tissue,1.0,1.0,1.0,765.0
lung squamous cell carcinoma,0.9973753280839897,0.9986859395532196,0.9980302035456337,761.0
accuracy,0.999205298013245,0.999205298013245,0.999205298013245,0.999205298013245
macro avg,0.9992069691020524,0.9992017126763736,0.9992041652905066,3775.0
weighted avg,0.9992056381958524,0.999205298013245,0.9992052927707764,3775.0
