,precision,recall,f1-score,support
colon adenocarcinoma,1.0,1.0,1.0,737.0
colon benign tissue,1.0,1.0,1.0,748.0
lung adenocarcinoma,0.996031746031746,1.0,0.9980119284294234,753.0
lung benign tissue,1.0,1.0,1.0,751.0
lung squamous cell carcinoma,1.0,0.995945945945946,0.997968855788761,740.0
accuracy,0.999195494770716,0.999195494770716,0.999195494770716,0.999195494770716
macro avg,0.9992063492063492,0.9991891891891893,0.9991961568436369,3729.0
weighted avg,0.9991986872517845,0.999195494770716,0.9991954774446337,3729.0
